bin	count
8719.45	0
8758.55	0
8797.65	0
8836.75	0
8875.86	0
8914.96	0
8954.06	0
8993.16	0
9032.26	0
9071.36	0
9110.46	0
9149.56	0
9188.66	0
9227.76	0
9266.86	0
9305.96	0
9345.06	0
9384.16	0
9423.26	0
9462.37	0
9501.47	0
9540.57	0
9579.67	0
9618.77	0
9657.87	0
9696.97	0
9736.07	0
9775.17	0
9814.27	0
9853.37	0
9892.47	0
9931.57	0
9970.67	0
10009.8	0
10048.9	0
10088	0
10127.1	0
10166.2	0
10205.3	0
10244.4	0
10283.5	0
10322.6	0
10361.7	0
10400.8	0
10439.9	0
10479	0
10518.1	0
10557.2	0
10596.3	0
10635.4	0
10674.5	0
10713.6	0
10752.7	0
10791.8	0
10830.9	0
10870	0
10909.1	0
10948.2	0
10987.3	0
11026.4	0
11065.5	0
11104.6	0
11143.7	0
11182.8	0
11221.9	0
11261	0
11300.1	0
11339.2	0
11378.3	0
11417.4	0
11456.5	0
11495.6	0
11534.7	0
11573.8	0
11612.9	0
11652	0
11691.1	0
11730.2	0
11769.3	0
11808.4	0
11847.5	0
11886.6	0
11925.7	0
11964.8	0
12003.9	0
12043	0
12082.1	0
12121.2	0
12160.3	0
12199.4	0
12238.5	0
12277.6	0
12316.7	0
12355.8	0
12394.9	0
12434	0
12473.1	0
12512.2	0
12551.3	0
12590.4	0
12629.5	0
12668.6	0
12707.7	0
12746.8	0
12785.9	0
12825	0
12864.1	0
12903.2	0
12942.3	0
12981.4	0
13020.5	0
13059.6	0
13098.7	0
13137.8	0
13176.9	0
13216	0
13255.1	0
13294.2	0
13333.3	0
13372.4	0
13411.5	0
13450.6	0
13489.7	0
13528.8	0
13567.9	0
13607	0
13646.1	0
13685.2	0
13724.3	0
13763.4	0
13802.5	0
13841.6	0
13880.7	0
13919.8	0
13958.9	0
13998	0
14037.1	0
14076.2	0
14115.3	0
14154.4	0
14193.5	0
14232.6	0
14271.8	0
14310.9	0
14350	0
14389.1	0
14428.2	0
14467.3	0
14506.4	0
14545.5	0
14584.6	0
14623.7	0
14662.8	0
14701.9	0
14741	0
14780.1	0
14819.2	0
14858.3	0
14897.4	0
14936.5	0
14975.6	0
15014.7	0
15053.8	0
15092.9	0
15132	0
15171.1	0
15210.2	0
15249.3	0
15288.4	0
15327.5	0
15366.6	0
15405.7	0
15444.8	0
15483.9	0
15523	0
15562.1	0
15601.2	0
15640.3	0
15679.4	0
15718.5	0
15757.6	0
15796.7	0
15835.8	0
15874.9	0
15914	0
15953.1	0
15992.2	0
16031.3	0
16070.4	0
16109.5	0
16148.6	0
16187.7	0
16226.8	0
16265.9	0
16305	0
16344.1	0
16383.2	0
16422.3	0
16461.4	0
16500.5	0
16539.6	0
16578.7	0
16617.8	0
16656.9	0
16696	0
16735.1	0
16774.2	0
16813.3	0
16852.4	0
16891.5	0
16930.6	0
16969.7	0
17008.8	0
17047.9	0
17087	0
17126.1	0
17165.2	0
17204.3	0
17243.4	0
17282.5	0
17321.6	0
17360.7	0
17399.8	0
17438.9	0
17478	0
17517.1	0
17556.2	0
17595.3	0
17634.4	0
17673.5	0
17712.6	0
17751.7	0
17790.8	0
17829.9	0
17869	0
17908.1	0
17947.2	0
17986.3	0
18025.4	0
18064.5	0
18103.6	0
18142.7	0
18181.8	0
18220.9	0
18260	0
18299.1	0
18338.2	0
18377.3	0
18416.4	0
18455.5	0
18494.6	0
18533.7	0
18572.8	0
18611.9	0
18651	0
18690.1	0
18729.2	0
18768.3	0
18807.4	0
18846.5	0
18885.6	0
18924.7	0
18963.8	0
19002.9	0
19042	0
19081.1	0
19120.2	0
19159.3	0
19198.4	0
19237.5	0
19276.6	0
19315.7	0
19354.8	0
19393.9	0
19433	0
19472.1	0
19511.2	0
19550.3	0
19589.4	0
19628.5	0
19667.6	0
19706.7	0
19745.8	0
19784.9	0
19824	0
19863.1	0
19902.2	0
19941.3	0
19980.4	0
20019.6	0
20058.7	0
20097.8	0
20136.9	0
20176	0
20215.1	0
20254.2	0
20293.3	0
20332.4	0
20371.5	0
20410.6	0
20449.7	0
20488.8	0
20527.9	0
20567	0
20606.1	0
20645.2	0
20684.3	0
20723.4	0
20762.5	0
20801.6	0
20840.7	0
20879.8	0
20918.9	0
20958	0
20997.1	0
21036.2	0
21075.3	0
21114.4	0
21153.5	0
21192.6	0
21231.7	0
21270.8	0
21309.9	0
21349	0
21388.1	0
21427.2	0
21466.3	0
21505.4	0
21544.5	0
21583.6	0
21622.7	0
21661.8	0
21700.9	0
21740	0
21779.1	0
21818.2	0
21857.3	0
21896.4	0
21935.5	0
21974.6	0
22013.7	0
22052.8	0
22091.9	0
22131	0
22170.1	0
22209.2	0
22248.3	0
22287.4	0
22326.5	0
22365.6	0
22404.7	0
22443.8	0
22482.9	0
22522	0
22561.1	0
22600.2	0
22639.3	0
22678.4	0
22717.5	0
22756.6	0
22795.7	0
22834.8	0
22873.9	0
22913	0
22952.1	0
22991.2	0
23030.3	0
23069.4	0
23108.5	0
23147.6	0
23186.7	0
23225.8	0
23264.9	0
23304	0
23343.1	0
23382.2	0
23421.3	0
23460.4	0
23499.5	0
23538.6	0
23577.7	0
23616.8	0
23655.9	0
23695	0
23734.1	0
23773.2	0
23812.3	0
23851.4	0
23890.5	0
23929.6	0
23968.7	0
24007.8	0
24046.9	0
24086	0
24125.1	0
24164.2	0
24203.3	0
24242.4	0
24281.5	0
24320.6	0
24359.7	0
24398.8	0
24437.9	0
24477	0
24516.1	0
24555.2	0
24594.3	0
24633.4	0
24672.5	0
24711.6	0
24750.7	0
24789.8	0
24828.9	0
24868	0
24907.1	0
24946.2	0
24985.3	0
25024.4	0
25063.5	0
25102.6	0
25141.7	0
25180.8	0
